1,alaba,surulere
2,alaba express,surulere
3,alaka,surulere
4,barracks,surulere
5,bode thomas,surulere
6,cele express,surulere
7,coker,surulere
8,doyin,surulere
9,eric moore,surulere
10,fountain,surulere
11,idowu street,surulere
12,ishaga,surulere
13,itire Rd Junction,suruelere
14,kilo,surulere
15,lawanson,surulere
16,masha,surulere
17,merchant express aviation,surulere
18,municipal,surulere
19,odi oluwo,surulere
20,ogosco,surulere
21,ogunlana,surulere
22,ojuelegba bus station,surulere
23,okada junction,surulere
24,okota link bridge,surulere
25,onilegogoro,surulere
26,orile,surulere
27,sanya,surulere
28,shita,surulere
29,stadium,surulere
30,underbridge busstop kilo,surulere
31,ago,oshodi-isolo
32,aswani market junction,oshodi-isolo
33,aye junction,oshodi-isolo
34,ballet,oshodi-isolo
36,barracks,oshodi-isolo
37,chemist,oshodi-isolo
38,ejigbo,oshodi-isolo
39,gideon,oshodi-isolo
40,isolo,oshodi-isolo
41,jakande,oshodi-isolo
42,junction,oshodi-isolo
43,lasu,oshodi-isolo
44,nepa,oshodi-isolo
45,nnpc,oshodi-isolo
46,oke afa,oshodi-isolo
47,ori-oke,oshodi-isolo
48,pako,oshodi-isolo
49,7/8,mushin
50,ap club,mushin
51,cappa,mushin
52,challenge,mushin
53,charity,mushin
54,cocacola,mushin
55,five star,mushin
56,idi-oro,mushin
57,ilasa,mushin
58,iyana isolo,mushin
59,ladipo,mushin
60,moshalasi,mushin
61,mushin,mushin
62,olo osa,mushin
63,olorunsogo,mushin
64,toyota,mushin
65,jibowu,somolu
66,fadeyi,somolu
67,onipanu,somolu
68,palmgrove,somolu
69,obanikoro,somolu
70,anthony,somolu
71,ikeja along,ikeja
72,ikeja plaza roundabout,ikeja
73,d green ways nature services/ikeja underbridge,ikeja
74,ikeja,ikeja
75,balogun,ikeja
76,allen,ikeja
77,aromire,ikeja
78,alade,ikeja
79,ladipo,ikeja
80,hospital,ikeja
81,oshopey,ikeja
82,sensation,ikeja
83,awosika,ikeja
84,salvation,ikeja
85,junction,ikeja
86,first gate,ikeja
87,abule,ikeja
88,base,ikeja
89,mmia,ikeja
90,airport,ikeja
91,kingsway,maryland
92,leventis,maryland
93,onigbongbo,maryland
94,bus stop,maryland
95,radio,ikeja
96,elephant,ikeja
97,alausa,ikeja
98,kara,ikeja
99,berger,ikeja
100,ojodu/berger,ikeja
101,pwd,ikeja
102,ajayi farm,ikeja
103,ile zik,ikeja
104,nigerite,ikeja
105,wahum,ikeja
106,maryland,maryland
107,aba johnson,ikeja
108,haco,ikeja
109,vintage,ikeja
110,vulcaniser,ikeja
118,ogba,ikeja
119,second gate,ikeja
120,odo eran,ikeja
121,ijaiye housing estate,ikeja
122,agege pen cinema,ikeja
123,bank,ikeja
124,mangoro,agege
125,cement,agege
126,dopemu,agege
127,pako,agege
128,adealu,agege
129,iyana-ipaja,agege
130,araromi,agege
131,cele,alimosho
132,ile-iwe,alimosho
133,synagogue,alimosho
134,ikotun,alimosho
155,first gate,amuwo-odofin
156,moshalasi 2,amuwo-odofin
157,moshalish,amuwo-odofin
158,naid,amuwo-odofin
159,church,amuwo-odofin
160,pako,amuwo-odofin
161,agboju,amuwo-odofin
162,oluti,amuwo-odofin
163,alakija,amuwo-odofin
164,v-niger,amuwo-odofin
165,abule-ado,amuwo-odofin
166,onireke,amuwo-odofin
167,barracks,amuwo-odofin
168,trade fair,amuwo-odofin
169,abule-oshun,amuwo-odofin
170,besam,ikeja
172,iyana school,ketu
173,barracks ilupeju,ikeja
214,maryland,kosofe
215,anthony,kosofe
216,mariland,kosofe
217,idiroko,ikeja
218,ojota bus station,kosofe
219,ojota,kosofe
220,ketu,kosofe
221,owode,kosofe
222,tincan 1st gate,apapa
223,tincan 2nd gate,apapa
224,liverpool,apapa
225,trebor,apapa
226,apapa,apapa
227,wharf,apapa
228,eleganza,apapa
229,berger car depot bridge,ajeromi-ifelodun
230,berger/kirikiri,ajeromi-ifelodun
231,berger,ajeromi-ifelodun
232,sunrise,ajeromi-ifelodun
233,apapa expressway ,ajeromi-ifelodun
234,trinity,ajeromi-ifelodun
235,ware-house,ajeromi-ifelodun
236,coconut,ajeromi-ifelodun
237,bus-stop,ajeromi-ifelodun
238,leventis,lagos island
239,cms,lagos island
240,ajah park,lagos island
241,barracks,lagos island
242,obalende,lagos island
243,legico,eti-osa
244,silverbird galleria,eti-osa
245,nta,eti-osa
246,mrs station,eti-osa
247,bishop oluwole,eti-osa
248,oduduwa house,eti-osa
249,akin adesola(dhl),eti-osa
250,tamiyu savage junction,eti-osa
