junction,TR,ajao estate
toyota,TR,toyota
iyana isolo,TR,iyana isolo
ilasa,TR,ilasa
iyana itire,TR,iyana itire
cele express,TR,cele express
second rainbow,TR,second rainbow
alaba express,TR,alaba express
jakande,TR,jakande
berger/kirikiri,TR,berger/kirikiri
berger/kirikiri,TR,berger/kirikiri
alaba expressway,TR,apapa expressway
ware house,TR,ware-house
junction,TR,ajao estate
toyota,TR,toyota
iyana isolo,TR,iyana isolo
ilasa,TR,ilasa
iyana itire,TR,iyana itire
cele express,TR,cele express
second rainbow,TR,second rainbow
alaba express,TR,alaba express
jakande,TR,jakande
berger/kirikiri,TR,berger/kirikiri
berger/kirikiri,TR,berger/kirikiri
alaba expressway,TR,apapa expressway
ware house,TR,ware-house
toyota,TR,toyota
iyana isolo,TR,iyana isolo
ilasa,TR,ilasa
iyana itire,TR,iyana itire
cele express,TR,cele express
second rainbow,TR,second rainbow
alaba express,TR,alaba express
jakande,TR,jakande
berger/kirikiri,TR,berger/kirikiri
berger/kirikiri,TR,berger/kirikiri
alaba express way,TR,apapa expressway
ware house,TR,ware-house
tincan 1st gate,TR,tincan 1st gate
tincan 2nd gate,TR,tincan 2nd gate
apapa,TR,apapa
barracks,TR,barracks
anthony,TR,anthony
ojuelegba bus station,TE,ojuelegba bus station
barracks,TR,barracks
anthony,TR,anthony
ojuelegba bus station,TR,ojuelegba bus station
barracks,TR,barracks
alaka,TR,alaka
ajah park,TR,park & shop|ajah
ladipo,TR,ladipo|ladipo
ikeja along,TR,ikeja along|ikeja|ikeja bridge
ile zik,TR,ile zik|ile-iwe
ladipo,TR,ladipo|ladipo
ikeja along,TR,ikeja along|ikeja|ikeja bridge
ile zik,TR,ile zik|ile-iwe
pako,TR,pako|pako|pako
araromi,TR,aromire|araromi|araromi
iyana-ipaja,TE,iyana isolo|iyana-ipaja|iyana school|iyana itire|iyanaoba
toyota,TR,toyota
iyana isolo,TR,iyana isolo
isolo,TR,isolo|iyana isolo
aye junction,TR,itire Rd Junction|okada junction|aswani market junction|aye junction|taimiyu savage junction
pako,TR,pako|pako|pako
oke afa,TR,oke afa|ori-oke
ejigbo,TR,ejigbo|igbo efon
cele,TR,cele express|cele|cele
ile-iwe,TR,ile zik|ile-iwe
ikotun,TE,ikotun|ikota
alausa,TR,alausa
ojodu/berger,TE,ojodu/berger
alausa,TR,alausa
alade,TR,alade
ladipo,TR,ladipo|ladipo
sensation,TR,sensation|salvation
salvation,TR,sensation|salvation
junction,TR,ajao estate
kingsway,TR,kingsway|kings guard
leventis,TR,leventis|leventis
maryland,TR,maryland|maryland
anthony,TR,anthony
alade,TR,alade
ladipo,TR,ladipo|ladipo
sensation,TR,sensation|salvation
salvation,TR,sensation|salvation
junction,TR,ajao estate
kingsway,TR,kingsway|kings guard
leventis,TR,leventis|leventis
maryland,TR,maryland|maryland
anthony,TR,anthony
ojuelegba bus station,TE,ojuelegba bus station
ikeja bridge,TE,ikeja along|ikeja|ikeja bridge|under bridge
aba johnson,TR,aba johnson|mobolaji johnson
first gate,TR,first gate|first gate
ikeja bridge,TE,ikeja along|ikeja|ikeja bridge|under bridge
ikeja,TR,ikeja along|ikeja|ikeja bridge
alausa,TR,alausa
iyana itire,TE,iyana isolo|iyana-ipaja|iyana school|iyana itire|iyanaoba
itire road junction,TR,itire Rd Junction|okada junction|aye junction
pako,TR,pako|pako|pako
ojuelegba bus station,TR,ojuelegba bus station
ojuelegba bus station,TE,ojuelegba bus station
alaka,TR,alaka
ajah park,TR,park & shop|ajah
alaka,TR,alaka
itire road junction,TR,itire Rd Junction|okada junction|aye junction
cele express,TE,cele express
cele express,TE,cele express
ago junction,TR,itire Rd Junction|okada junction|ago|aswani market junction|aye junction|taimiyu savage junction
ago roundabout,TR,ikeja plaza roundabout|eko hotel roundabout|1st roundabout lekki|2nd roundabout lekki|3rd roundabout lekki|5th roundabout lekki|6th roundabout lekki|7th roundabout lekki
barracks,TR,barracks
pako,TR,pako|pako|pako
oke afa,TR,oke afa|ori-oke
ejigbo,TR,ejigbo|igbo efon
ori-oke,TR,orile|oke afa|ori-oke
cele,TR,cele express|cele|cele
ile-iwe,TR,ile zik|ile-iwe
ikotun,TE,ikotun|ikota
cele express,TE,alaba express|cele express|cele|apapa expressway |cele
ago junction,TR,itire Rd Junction|okada junction|ago|aswani market junction|aye junction|taimiyu savage junction
ago roundabout,TR,ikeja plaza roundabout|eko hotel roundabout|1st roundabout lekki|2nd roundabout lekki|3rd roundabout lekki|5th roundabout lekki|6th roundabout lekki|7th roundabout lekki
barracks,TR,barracks
pako,TR,pako|pako|pako
oke afa,TR,oke afa|ori-oke
cele express,TE,alaba express|cele express|cele|apapa expressway |cele
second rainbow,TR,second rainbow
alaba express,TR,alaba|alaba express|cele express|apapa expressway
jakande,TR,jakande
berger/kirikiri,TR,berger/kirikiri
berger,TR,ojodu/berger|berger car depot bridge|berger/kirikiri
alaba express way,TR,alaba|alaba express|cele express|apapa expressway
ware house,TR,ware-house
cele express,TE,alaba express|cele express|cele|apapa expressway |cele
second rainbow,TR,second rainbow
alaba express,TR,alaba|alaba express|cele express|apapa expressway
jakande,TR,jakande
berger/kirikiri,TR,berger/kirikiri
berger,TR,ojodu/berger|berger car depot bridge|berger/kirikiri
alaba express way,TR,alaba|alaba express|cele express|apapa expressway
ware house,TR,ware-house
tincan 1st gate,TR,tincan 1st gate
tincan 2nd gate,TR,tincan 2nd gate
apapa,TR,apapa
cele express,TE,alaba express|cele express|cele|apapa expressway |cele
cele express,TE,alaba express|cele express|cele|apapa expressway |cele
ago junction,TR,itire Rd Junction|okada junction|ago|aswani market junction|aye junction|taimiyu savage junction
ago roundabout,TR,ikeja plaza roundabout|eko hotel roundabout|1st roundabout lekki|2nd roundabout lekki|3rd roundabout lekki|5th roundabout lekki|6th roundabout lekki|7th roundabout lekki
barracks,TR,barracks
pako,TR,pako|pako|pako
oke afa,TR,oke afa|ori-oke
ejigbo,TE,ejigbo|igbo efon
cele express,TE,alaba express|cele express|cele|apapa expressway |cele
ojuelegba bus station,TR,ojuelegba bus station
cele express,TE,alaba express|cele express|cele|apapa expressway |cele
alaba suru,TR,alaba|alaba express|alabarago
orile,TR,orile|ori-oke
berger/kirikiri,TR,berger/kirikiri
berger,TR,ojodu/berger|berger car depot bridge|berger/kirikiri
alaba express way,TR,alaba|alaba express|cele express|apapa expressway
ware house,TR,ware-house
tincan 1st gate,TR,tincan 1st gate
tincan 2nd gate,TR,tincan 2nd gate
apapa,TR,apapa
ojuelegba bus station,TE,ojuelegba bus station
ojuelegba bus station,TE,ojuelegba bus station
anthony,TR,anthony
maryland,TR,maryland|maryland
leventis,TR,leventis|leventis
kingsway,TR,kingsway|kings guard
junction,TR,ajao estate
salvation,TR,sensation|salvation
sensation,TR,sensation|salvation
ladipo,TR,ladipo|ladipo
alade,TR,alaba|alaka|alade|alausa
ikeja,TE,ikeja along|ikeja|ikeja bridge
ojuelegba bus station,TE,ojuelegba bus station
moshalasi,TR,moshalasi|mosalashi|moshalasi 2
ladipo,TR,ladipo|ladipo
ikeja along,TR,ikeja along|ikeja|ikeja bridge
ile zik,TR,ile zik|ile-iwe
odo eran bus stop,TR,bus stop|odo eran|empire bus stop|sabo bus stop
second gate bus stop,TR,bus stop|second gate|second gate|empire bus stop|sabo bus stop
ojuelegba bus station,TE,ojuelegba bus station
barracks,TR,barracks
alaka,TR,alaba|alaka|alade|alausa|alakija
ajah park,TR,park & shop|ajah
ojuelegba bus station,TE,ojuelegba bus station
anthony,TR,anthony
maryland,TR,maryland|maryland
ojota,TR,ojota bus station|ojota
iyana school,TR,iyana isolo|iyana-ipaja|iyana school|law school|iyana itire
mile 12 underbridge,TE,underbridge busstop kilo|under bridge
