nahco,airport,airport,nahco,nahco,oshodi,oshodi,oshodi,oshodi,oshodi,oshodi,oshodi,allen,allen,allen,allen,allen,ikeja bridge,ikeja bridge,iyana itire,lawanson,lawanson,lawanson,lawanson,lawanson,lawanson,cele express,cele express,cele express,cele express,cele express,cele express,cele express,cele express,mile 2,mile2,ojuelegba bus station,ojuelegba bus station,ojuelegba bus station,ojuelegba bus station,ojuelegba bus station,cms,1st roundabout lekki,1st roundabout lekki,1st roundabout lekki,oshodi,mile 2,alaba suru,ojulegba,ojuelegba,mushin,ijora/7up,obalende,obalende,obalende,onyingbo,boundary,ijesha,lawanson,Ikeja,ikeja,ikeja,egbeda,egbeda,egbeda,iyana iba,iyana iba,iyana iba,iyana iba,iyana iba,iyana iba,iyana iba,iyana iba,iyana iba,ile ibadan,ijegun,ijegun,ikotun,ikotun,iyana ipaja,ikotun,,,,
mmia,strabag,strabag,junction,junction,charity,charity,barracks ilupeju,barracks ilupeju,bolade,bolade,charity,testing ground,obalende,testing ground,alade,alade,wahum,ikeja,itire road junction,ogunlana,ogunlana,ogunlana,ogunlana,itire road junction,okota link bridge,lasu,lasu,odi oluwo,odi oluwo,lasu,lasu,okota link bridge,okota link bridge,alaba suru,berger/kirikiri,ajegunle,jibowu,empire,baba ijebu,jibowu,barracks,oniru estate,oniru estate,oniru estate,maryland,maza maza,mile 2,empire,empire,oloosa,ijora,forest street,osborne road,olowu,otto,second nosamu,ijesha market,itire road junction*,balogun,ajayi farm,ajayi farm,okunola,mokola,okunola,iba estate,iba estate,iba estate,iba estate,iba estate,iba estate,ppl,ppl,ppl,st saviours,isherin oshun,isherin oshun,synagogue,synagogue,alagutan,synagogue,,,,
,base,base,7/8,7/8,toyota,toyota,anthony,anthony,ladipo,ladipo,toyota,cosmic,,cosmic,ladipo,ladipo,aba johnson,balogun,pako,municipal,municipal,marsha,marsha,odo,cele express,ago junction,ago junction,ijesha,ijesha,ago,ago junction,lawanson,lawanson,oduade,berger,,fadeyi,moshalasi,barracks,fadeyi,bonny camp,sandfill,sandfill,sandfill,ojota,mosalashi,maza maza,mosalashi,mosalashi,idi-oro,idumota,adekunle lawal street,dolphin gate,iddo,iddo,ago hausa,itire road junction*,ijesha market,allen,ile zik,ile zik,oja,banire,oja,,ipaye,ipaye,ipaye,ipaye,ipaye,alabarago,alabarago,alabarago,prince,ije ododo,ije ododo,bolowupelu,bolowupelu,alimosho,bolowupelu,,,,
,besam,besam,toyota,charity,five star,five star,obanikoro,obanikoro,shogunle,shogunle,five star,elephant,,elephant,hospital,hospital,vintage,allen,lawanson,ojuelegba bus station,ojuelegba bus station,shita,shita,,,ago roundabout,ago roundabout,sanya,sanya,,ago roundabout,ogunlana,,coker,sunrise,,onipanu,idi-oro,stadium,onipanu,oniru,law school,law school,law school,ketu,pako,mosalashi,idi-oro,idi-oro,mosalashi,,oba adeyinka oyekan avenue,underbridge,otto,ijora olopa,okoya,pako,,clay,mangoro,mangoro,orelope,ponle,orelope,,ajakeye,ajakeye,ajakeye,ajakeye,ajakeye,moshalasi 2,moshalasi 2,moshalasi 2,papa major,transformer,transformer,Ile iwe,Ile iwe,church,Ile iwe,,,,
,mmia,nahco,five star,oshodi,iyana isolo,iyana isolo,palmgrove,palmgrove,pwd,pwd,iyana isolo,alausa,,alausa,oshopey,oshopey,vulcaniser,testing ground,,yaba,,stadium,stadium,,,barracks,barracks,coker,coker,,barracks,municipal,,orile,alaba express way,,palmgrove,oloosa,alaka,palmgrove,law school,falomo,oniru,oniru,mile 12,second gate,pako,olosha,oloosa,empire,,glover road,oba adeyinka oyekan avenue,onyingbo,ijora/7up,aiyenero,lawanson,,oregun,cement,cement,seliat,olorun adaba,seliat,,iyana school,iyana school,iyana school,iyana school,iyana school,okokomaiko,okokomaiko,okokomaiko,nepa,estate junction,estate junction,hostel,hostel,olorun adaba,hostel,,,,
,,,iyana isolo,,hassan,hassan,onipanu,onipanu,airport,airport,isolo,kara,,secretariat,plaza,plaza,first gate,cosmic,,,,alaka,alaka,,,chemist,chemist,second rainbow,second rainbow,,chemist,ojuelegba bus station,,doyin,trinity,,obanikoro,mushin,constain,obanikoro,sandfill,obalende,bonny camp,bonny camp,owode,agboju,second gate,mushin,mushin,ojuelegba,,barrow avenue,,,pako*,church,,,welfare,shasha,shasha,abule odu,church,abule odu,,adoff,adoff,adoff,adoff,adoff,under bridge,under bridge,under bridge,taylor,junction ,junction ,cele,cele,ponle,cele,,,,
,,,hassan,,ilasa,ilasa,fadeyi,fadeyi,national,national,aye junction,ojodu/berger,,,sensation,sensation,ogba,elephant,,,,constain,constain,,,gideon,gideon,alaba express,alaba express,,gideon,yaba,,,ware house,,anthony,ap club,ajah park,anthony,oniru estate,,barracks,barracks,irawo,oluti,agboju,iyana isolo,,barracks,,gerard avenue,,,boundary,aduke junction,,,first bank,cele,,ilepo alhaji,alimosho,ilepo alhaji,,iba junction,iba junction,iba junction,iba junction,iba junction,agbara,agbara,agbara,obalagbe,jakande,jakande,ori-oke,ori-oke,banire,ori-oke,,,,
,,,ilasa,,iyana itire,iyana itire,jibowu,jibowu,ikeja along,ikeja along,orita mefa,,,,awosika,awosika,,alausa,,,,ajah park,,,,pako,pako,jakande bus stop,jakande bus stop,,pako,,,,coconut,,idiroko,olorunsogo,cms,idiroko,lekki phase 1,,cms,cms,police post,alakija,oluti,,,stadium,,parkview,,,,e.c.n. junction,,,olushosun,jimoh,,faith,alagutan,faith,,,bus stop,bus stop,bus stop,bus stop,magbon,magbon,,sule,,oke afa,ile-epo,ile-epo,mokola,ile-epo,,,,
,,,iyana itire,,ballet,ballet,ojuelegba bus station,ojuelegba bus station,ajayi farm,ajayi farm,general hospital,,,,salvation,salvation,,secretariat,,,,cms,,,,oke afa,oke afa,mile2,mile2,,oke afa,,,,tincan 1st gate,,maryland,challenge,,maryland,new market,,,ajah park,ajegunle,dantata,alakija,,,alaka,,,,,,alao,,,ojota,vulcanizer,,car wash,iyana ipaja,car wash,,,afolabi,afolabi,afolabi,afolabi,araromi,araromi,,bank,,pako,ejigbo,ejigbo,egbeda,ejigbo,,,,
,,,ballet,,cele express,cele express,,baba ijebu,ile zik,ile zik,pako,,,,junction,junction,,,,,,,,,,jakande,jakande,berger/kirikiri,berger/kirikiri,,jakande,,,,tincan 2nd gate,,onigbongbo,coca cola,,ojota,2nd roundabout lekki,,,constain,ogolonto,v-niger,dantata,,,iponri,,,,,,ligali,,,,baale,,baba oba,,baba oba,,,adexson,adexson,adexson,adexson,mosafejo,mosafejo,,isherin oshun,,isolo,nepa,nepa,okunola,,,,,
,,,cele express,,odi oluwo,odi oluwo,,barracks,old abeokuta road,mangoro,oke afa,,,,kingsway,kingsway,,,,,,,,,,nnpc,,berger,berger,,nnpc,,,,liverpool,,leventis,cappa,,ketu,mobalaji johnson,,,,oja,abule-ado,v-niger,,,constain,,,,,,owoyemi,,,,micom,,lab,,lab,,,ewedogbon,ewedogbon,ewedogbon,ewedogbon,mammy market ibereko,mammy market ibereko,,ijegun*,,gideon,nnpc,nnpc,oja,,,,,
,,,odi oluwo,,ijesha,ijesha,,stadium,agege pen cinema,cement,jakande,,,,leventis,leventis,,,,,,,,,,nepa,,sunrise,sunrise,,nepa,,,,trebor,,kingsway,oshodi,,iyana school,elf,,,,agric,trade fair,abule-ado,,,brewery,,,,,,barrack,,,,bakery,,isherin olofin,,isherin olofin,,,araromi,araromi,araromi,araromi,badagry garage,badagry garage,,,,oja,jakande,jakande,orelope,,,,,
,,,ijesha,,sanya,sanya,,alaka,,dopemu,nnpc,,,,onigbongbo,onigbongbo,,,,,,,,,,ejigbo,,alaba express way,alaba express way,,ejigbo,,,,apapa,,junction,bolade,,mile 12 underbridge,3rd roundabout lekki,,,,cele,abule-oshun,trade fair,,,ijora/7up,,,,,,alaba suru,,,,Egbeda,,idimu,,pipeline,,,akesan junction,akesan junction,akesan junction,akesan junction,,seme,,,,chemist,oke afa,oke afa,seliat,,,,,
,,,sanya,,coker,coker,,constain,,pako,nepa,,,,maryland,maryland,,,,,,,,,,ori-oke,,trinity,trinity,,,,,,wharf,,salvation,ladipo,,,4th roundabout lekki,,,,haruna,onireke,abule-oshun,,,,,,,,,**bustops need to be added to Db,,,,,,alhaja,,odo eran,,,olowo ila,olowo ila,olowo ila,olowo ila,,,,,,barracks,aye junction,pako,abule odu,,,,,
,,,coker,,second rainbow,second rainbow,,ajah park,,adealu,ejigbo,,,,idiroko,idiroko,,,,,,,,,,cele,,ware house,ware house,,,,,,,,awosika,shogunle,,,chisco,,,,tos benson,barracks,onireke,,,,,,,,,,,,,,,council,,association,,,olorunfemi,olorunfemi,olorunfemi,olorunfemi,,,,,,ago roundabout,aswani market junction,isolo,ilepo alhaji,,,,,
