nahco,TE,"nahco,855"
mmia,TE,"mmia,729"
airport,TE,"airport,730"
strabag,TR,"strabag,859"
base,TR,"base,728"
besam,TR,"besam,779"
mmia,TE,"mmia,729"
airport,TE,"airport,730"
strabag,TR,"strabag,859"
base,TR,"base,728"
besam,TR,"besam,779"
nahco,TE,"nahco,855"
nahco,TE,"nahco,855"
ajao estate,TR,"ajao estate,725"
7/8,TR,"7/8,689"
toyota,TR,"toyota,704"
five star,TR,"five star,695"
iyana isolo,TR,"iyana isolo,698"
ilasa,TR,"ilasa,697"
iyana itire,TR,"iyana itire,857"
ballet,TR,"ballet,676"
cele express,TR,"cele express,648"
odi oluwo,TR,"odi oluwo,661"
ijesha,TR,"ijesha,792"
sanya,TR,"sanya,669"
coker,TR,"coker,649"
second rainbow,TR,"second rainbow,888"
alaba express,TR,"alaba express,645"
jakande,TR,"jakande,890"
mile 2,TR,mile 2,889
berger/kirikiri,TR,"berger/kirikiri,796"
berger,TR,"berger/kirikiri,796"
sunrise,TR,"sunrise,797"
apapa express way,TR,"apapa express way,798"
trinity,TR,"trinity,799"
ware house,TR,"ware-house,800"
coconut,TE,"coconut,801"
nahco,TE,"nahco,855"
ajao estate,TR,"ajao 724"
7/8,TR,"7/8,689"
charity,TR,"charity,693"
oshodi,TE,"oshopey,721"
oshodi,TE,"oshopey,721"
charity,TR,"charity,693"
toyota,TR,"toyota,704"
five star,TR,"five star,695"
iyana isolo,TR,"iyana isolo,698"
ilasa,TR,"ilasa,697"
iyana itire,TR,"iyana itire,857"
ballet,TR,"ballet,676"
cele express,TR,"cele express,648"
odi oluwo,TR,"odi oluwo,661"
ijesha,TR,ijesha,792
sanya,TR,"sanya,669"
coker,TR,"coker,649"
second rainbow,TR,"second rainbow,888"
alaba express,TR,"alaba express,645"
jakande,TR,"jakande,682"
mile 2,TR,mile 2,889
berger/kirikiri,TR,"berger/kirikiri,796"
berger,TR,"berger/kirikiri,796"
sunrise,TR,"sunrise,797"
apapa express way,TR,"apapa express way,798"
trinity,TR,"trinity,799"
ware house,TR,"ware-house,800"
coconut,TE,"coconut,801"
oshodi,TE,"oshopey,721"
charity,TR,"charity,693"
toyota,TR,"toyota,704"
five star,TR,"five star,695"
iyana isolo,TR,"iyana isolo,698"
ilasa,TR,"ilasa,697"
iyana itire,TR,"iyana itire,857"
ballet,TR,"ballet,676"
cele express,TR,"cele express,648"
odi oluwo,TR,"odi oluwo,661"
ijesha,TR,ijesha,792
sanya,TR,"sanya,669"
coker,TR,"coker,649"
second rainbow,TR,"second rainbow,888"
alaba express,TR,"alaba express,645"
jakande,TR,"jakande,682"
mile 2,TR,mile 2,889
berger/kirikiri,TR,"berger/kirikiri,796"
berger,TR,"berger/kirikiri,796"
sunrise,TR,"sunrise,797"
apapa express way,TR,"apapa express way,798"
trinity,TR,"trinity,799"
ware house,TR,"ware-house,800"
coconut,TR,"coconut,801"
